id,Tale,Title,Author,Date,Format,Language,FirstPublicationLocation,Notes
1,Jack and the Beanstalk,primis in faucibus orci,Morten O'Murtagh,2006,Novel,English,Germany,neque sapien placerat ante nulla justo
2,The Ugly Duckling,consectetuer adipiscing elit proin,Marcellina St. Clair,2011,Novel,English,Germany,est donec odio justo sollicitudin
3,The Ugly Duckling,platea dictumst maecenas ut,Pall De Vuyst,2007,Short story,English,Germany,magna vestibulum aliquet ultrices erat tortor
4,Sleeping Beauty,donec quis orci,Talia Perrelli,1994,Short story,English,Germany,erat volutpat in congue etiam justo etiam pretium
5,The Grasshopper and the Ants,quisque erat eros viverra,Arv Bicksteth,1986,Novel,English,Germany,
6,Chicken Little,a nibh in quis justo maecenas,Esme Pinnere,2001,Short story,English,Germany,sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus
7,Seven Swabians,non interdum in ante vestibulum,Trevor Storey,2007,Novel,English,Germany,
8,Hansel and Gretel,diam nam,Giorgio Santorini,2007,Short story,English,Germany,rutrum nulla
9,The Bremen Town Musicians,tellus in sagittis dui vel,Bellanca Messier,1996,Short story,English,Germany,eget massa tempor convallis nulla neque libero convallis eget eleifend luctus
10,Stone Soup,enim in tempor turpis,Raul Gobel,2004,Novel,English,Germany,quis lectus suspendisse potenti in eleifend
11,The Ugly Duckling,blandit ultrices enim,Alameda Odda,1968,Novel,English,Germany,vestibulum aliquet ultrices erat tortor sollicitudin mi sit
12,Henny Penny,cum sociis natoque penatibus et magnis,Tabbitha Musker,2010,Novel,English,Germany,in lectus pellentesque at
13,Aesops Fables,lobortis convallis tortor risus dapibus,Hilda McInnes,1995,Short story,English,Germany,pede ac
14,The Fisherman and his Wife,convallis eget eleifend luctus,Kerianne McCardle,1999,Novel,English,Germany,vivamus tortor duis mattis egestas metus aenean
15,Cinderella,lorem quisque ut erat curabitur gravida,Peria Jorat,2011,Short story,English,Germany,donec diam neque vestibulum eget vulputate ut
