id,Tale,Title,Author,Date,Format,Language,FirstPublicationLocation,Notes
1,The Little Red Hen,adipiscing elit,Dana Balassi,1988,Short story,English,Netherlands,orci mauris lacinia sapien quis libero nullam sit amet
2,The Little Red Hen,ut dolor morbi,Laughton Cardnell,2005,Short story,English,Switzerland,eu orci mauris lacinia sapien
3,The Lion and the Mouse,non mauris morbi,Allyn Cheson,2009,Novel,English,Switzerland,egestas metus aenean fermentum
4,Tom Thumb,aliquam non,Roland Scanlan,1999,Short story,English,Switzerland,
5,Rapunzel,accumsan tortor,Lynna Doolan,2000,Short story,English,Switzerland,nibh in quis justo maecenas rhoncus aliquam lacus morbi
6,Ghost Stories,felis ut at,Catie Lummis,2012,Novel,English,Austria,
7,Little Red Riding Hood,lobortis vel dapibus,Austen Heinlein,1995,Novel,English,Switzerland,
8,The Grasshopper and the Ants,scelerisque mauris sit amet,Maurise Cherrington,2010,Short story,English,Austria,
9,Chicken Little,sapien placerat ante nulla,Alika L'Episcopi,1994,Novel,English,Switzerland,quam pede lobortis ligula sit amet eleifend pede
10,Trickster Tales,id justo sit amet sapien,Armand Antonomoli,2011,Short story,English,Switzerland,nibh ligula nec sem duis aliquam convallis nunc proin
11,The Grasshopper and the Ants,nisl duis ac nibh,Amalia Ellingham,1992,Short story,English,Switzerland,id ornare imperdiet sapien
12,Chicken Little,sit amet,Ardyth Towne,2007,Short story,English,Switzerland,quam turpis adipiscing lorem
13,Henny Penny,nisl duis bibendum felis sed,Dacia Gemelli,1998,Novel,English,Netherlands,faucibus cursus urna ut
14,Belling the Cat,lacus morbi sem mauris,Iain Dewitt,1994,Short story,English,Switzerland,ac nibh fusce
15,The Little Red Hen,vestibulum ante ipsum primis in,Melvyn Grisard,2001,Short story,English,Netherlands,elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non
16,Henny Penny,justo eu massa,Rollin Snowling,2005,Novel,English,Switzerland,interdum eu tincidunt in leo maecenas pulvinar lobortis
17,Chicken Little,at velit vivamus vel,Risa Kiddey,2010,Short story,English,Switzerland,scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula
18,Trickster Tales,potenti cras in purus eu magna,Allyce Tidman,2005,Novel,English,Switzerland,eu est congue
19,The Little Red Hen,non pretium quis lectus suspendisse,Seth Kave,2006,Short story,English,Switzerland,sapien sapien non mi integer ac neque duis bibendum morbi non quam
20,Trickster Tales,nullam molestie nibh in,Carolyne Dobrowski,2011,Novel,English,Switzerland,
21,The Princess and the Pea,sem sed sagittis,Gabi Straffon,2011,Novel,English,Switzerland,platea dictumst aliquam augue quam sollicitudin vitae consectetuer
22,Ghost Stories,eu magna vulputate,Pearline Spikings,1993,Novel,English,Netherlands,consequat nulla
23,The Fox and the Grapes,sed lacus morbi sem mauris laoreet,Kalil Simcock,1964,Novel,English,Switzerland,blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel
24,Aesops Fables,pede justo lacinia eget tincidunt,Charlotta Battany,1997,Novel,English,Switzerland,
25,The Princess and the Pea,feugiat et eros,Rutter Wellwood,2012,Short story,English,Switzerland,
26,Jack and the Beanstalk,tincidunt eget tempus vel pede,Hetty Davis,2010,Novel,English,Netherlands,etiam justo etiam pretium iaculis justo in hac habitasse
27,The Fox and the Grapes,maecenas pulvinar lobortis,Warner Marklow,2008,Short story,English,Switzerland,malesuada in imperdiet et commodo vulputate justo in blandit
28,The Fisherman and his Wife,ligula suspendisse,Jonah Alven,2006,Novel,English,Switzerland,
29,Aesops Fables,orci pede venenatis non sodales sed,Eloise Malpass,1997,Short story,English,Austria,
30,The Fisherman and his Wife,tincidunt ante,Lonni Niessen,1990,Novel,English,Switzerland,vel enim sit amet
31,Goldilocks and the Three Bears,risus semper porta,Pier Marikhin,1994,Short story,English,Switzerland,a odio in hac habitasse platea dictumst maecenas ut massa quis augue
32,Little Red Riding Hood,mus vivamus vestibulum,Harold Fisher,2006,Novel,English,Netherlands,parturient montes nascetur
33,Fractured Fairy Tales,nisi eu orci mauris,Allyson Brimmicombe,1965,Short story,English,Switzerland,quis tortor id nulla ultrices aliquet maecenas
34,Aesops Fables,massa volutpat convallis morbi odio,Hayden Bennellick,2008,Short story,English,Switzerland,purus aliquet at feugiat non pretium
35,The Princess and the Pea,et magnis,Ernestine Scutter,2012,Novel,English,Switzerland,arcu sed augue aliquam erat
36,The Little Red Hen,neque duis bibendum morbi non,Min Bagnold,2005,Short story,English,Austria,viverra pede ac diam cras pellentesque volutpat dui
37,Tom Thumb,pharetra magna vestibulum aliquet,Reamonn Charlet,2007,Short story,English,Austria,
38,Rapunzel,mattis pulvinar nulla,Free McTear,2001,Short story,English,Switzerland,facilisi cras non velit
39,Hans in Luck,ultrices posuere cubilia,Gaelan Curtoys,1996,Short story,English,Germany,lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat
40,Puss in Boots,urna pretium nisl ut,Rutter Thewys,2010,Short story,English,Austria,platea dictumst morbi vestibulum velit
41,Stone Soup,non velit,Selinda Timms,2009,Novel,English,Netherlands,purus aliquet at feugiat non pretium quis lectus
42,Cinderella,orci mauris,Humfrey Gillion,2009,Novel,English,Austria,
43,Chicken Little,est quam pharetra magna,Michael Macy,2011,Novel,English,Germany,tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla
44,Belling the Cat,augue luctus tincidunt nulla mollis molestie,Abbe Overshott,1995,Novel,English,Netherlands,id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu
45,The Town Mouse and the Country Mouse,dapibus duis at velit eu est,Marsh Shergold,2011,Short story,English,Germany,morbi non
46,Cinderella,ipsum primis in faucibus orci luctus,Dulci Parfett,2009,Novel,English,Germany,
47,The Fisherman and his Wife,non sodales sed tincidunt,Melamie Coolahan,2004,Novel,English,Netherlands,cras mi pede malesuada in imperdiet et commodo
48,The Teeny Tiny Woman,in quis justo maecenas,Jorry Mayworth,2000,Short story,English,Germany,ornare imperdiet sapien urna
49,Sleeping Beauty,ut massa quis augue luctus tincidunt,Lenette Boolsen,2011,Short story,English,Germany,dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem
50,Gingerbread Man,dictumst morbi vestibulum velit id pretium,Thebault O'Kennavain,2003,Novel,English,Germany,
51,The Princess and the Pea,ridiculus mus vivamus vestibulum sagittis,Andreana Moukes,2009,Short story,English,Germany,vestibulum velit id pretium iaculis diam erat fermentum
52,Tom Thumb,vel ipsum praesent,Sollie Shelvey,2007,Novel,English,Germany,rutrum rutrum neque aenean
53,Hans in Luck,volutpat erat quisque erat,Kelcey Batie,1990,Novel,English,Austria,massa donec dapibus duis at
54,Cinderella,odio consequat varius integer,Jamal Rosenfarb,2006,Short story,English,Netherlands,pharetra magna ac consequat metus sapien
55,Belling the Cat,congue elementum in hac habitasse,Alexa Lerigo,2002,Short story,English,Germany,nisi venenatis tristique fusce congue diam id ornare imperdiet sapien
56,The Teeny Tiny Woman,justo sit,Farleigh Streets,1997,Short story,English,Austria,
57,The Lion and the Mouse,in tempor turpis,Starla Sercombe,2008,Novel,English,Germany,
58,Rapunzel,ante vestibulum ante ipsum primis,Niki Brailsford,2008,Novel,English,Netherlands,nulla tellus in sagittis
59,Cinderella,nisi vulputate nonummy maecenas,Tamqrah Kingaby,1993,Short story,English,Austria,consectetuer adipiscing elit proin interdum mauris
60,Tom Thumb,eu mi nulla ac enim,Anissa Coley,2007,Short story,English,Austria,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices
