place,lat,lng
United Kingdom,53.8757911,-1.733584
France,47.1604526,2.389104
Germany,50.8670124,10.393173
Spain,40.2861701,-3.592169
United States,39.3942961,-97.719363
Italy,43.322398,12.4518453
Barbados,13.170723,-59.546253
China,34.440359,106.105430
Dominica,15.440178, -61.345133
Estonia,58.699769,25.781482
Greece,39.500926,21.957261
Grenada,12.118941,-61.676052
Haiti,19.139732,-72.507151
Hungary,47.155204,19.394968
Iceland,64.876255,-18.181444
India,22.669299,78.099981
Indonesia,-2.279821,122.014777
Jamaica,18.177151,-77.341940
Japan,36.222239,138.620192
Malaysia,4.285614,102.163419
Mexico,23.685273,-102.462420
Nepal,27.951398,84.338282
Norway,61.781830,9.320155
Portugal,39.903613,-8.024319
Romania,46.031791,25.057772
Russia,61.834948,99.007375
Serbia,44.204858,20.805808
Singapore,1.361179,103.816569
Sweden,62.685867,16.415881
Thailand,15.254483,100.962573
Turkey,38.820717,35.724847
Vietnam,14.359475,108.404059
